t,x,y,z,vx,vy,vz,yaw,yaw_rate
0.00000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.02000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.04000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.06000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.08000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.10000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.12000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.14000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.16000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.18000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.20000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.22000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.598628,-0.000187
0.24000,-0.975096,0.780466,2.965064,-0.018327,-0.018531,0.000200,-1.580506,0.243214
0.26000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.28000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.30000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.32000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.34000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.36000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.38000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.40000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.42000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.44000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.46000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.48000,-0.974957,0.779912,2.965122,-0.014187,-0.032010,-0.000253,-1.580506,0.243214
0.50000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.52000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.54000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.56000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.58000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.60000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.62000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.64000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.66000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.68000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.70000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.72000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.428982,0.875050
0.74000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.184649,0.946082
0.76000,-0.972119,0.762896,2.965075,0.004967,-0.160797,-0.000838,-1.184649,0.946082
0.78000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.80000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.82000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.84000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.86000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.88000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.90000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.92000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.94000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
0.96000,-0.961066,0.701843,2.965004,0.053418,-0.375573,-0.000350,-1.184649,0.946082
