t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,er_L,et_L
0.00000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.019838,0.056309,2.956111,0.000000,0.000000
0.02000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.019966,0.024310,2.956111,0.000000,-0.032000
0.04000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.020350,-0.007688,2.956111,0.000000,-0.064000
0.06000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.020990,-0.039681,2.956111,0.000000,-0.096000
0.08000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.021886,-0.071669,2.956111,0.000000,-0.128000
0.10000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.023038,-0.103648,2.956111,0.000000,-0.160000
0.12000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.024445,-0.135617,2.956111,0.000000,-0.192000
0.14000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.026108,-0.167574,2.956111,0.000000,-0.224000
0.16000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.028027,-0.199516,2.956111,0.000000,-0.256000
0.18000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.030202,-0.231442,2.956111,0.000000,-0.288000
0.20000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.581948,-0.000600,0.032631,-0.263349,2.956111,0.000000,-0.320000
0.22000,0.019838,0.056309,2.956111,-0.016420,-0.019072,0.000252,-1.570544,0.146256,0.035316,-0.295237,2.956111,0.000000,-0.352000
0.24000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.038256,-0.327101,2.956111,-0.000287,-0.383014
0.26000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.041451,-0.358941,2.956111,-0.000287,-0.415014
0.28000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.044900,-0.390755,2.956111,-0.000287,-0.447014
0.30000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.048604,-0.422540,2.956111,-0.000287,-0.479014
0.32000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.052561,-0.454294,2.956111,-0.000287,-0.511014
0.34000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.056773,-0.486015,2.956111,-0.000287,-0.543014
0.36000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.061238,-0.517702,2.956111,-0.000287,-0.575014
0.38000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.065957,-0.549352,2.956111,-0.000287,-0.607014
0.40000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.070929,-0.580964,2.956111,-0.000287,-0.639014
0.42000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.076153,-0.612534,2.956111,-0.000287,-0.671014
0.44000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.081630,-0.644062,2.956111,-0.000287,-0.703014
0.46000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.570544,0.146256,0.087359,-0.675545,2.956111,-0.000287,-0.735014
0.48000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.485251,0.487044,0.093340,-0.706981,2.956111,-0.000287,-0.767014
0.50000,0.020125,0.055324,2.956026,-0.011931,-0.037462,-0.000418,-1.485251,0.487044,0.099572,-0.738368,2.956111,-0.000287,-0.799014
0.52000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.485251,0.487044,0.106055,-0.769704,2.956111,-0.002777,-0.810275
0.54000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.485251,0.487044,0.112788,-0.800988,2.956111,-0.002777,-0.842275
0.56000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.485251,0.487044,0.119771,-0.832217,2.956111,-0.002777,-0.874275
0.58000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.485251,0.487044,0.127004,-0.863388,2.956111,-0.002777,-0.906275
0.60000,0.022674,0.034599,2.955780,0.002400,-0.187026,-0.001340,-1.485251,0.487044,0.134486,-0.894501,2.956111,-0.002777,-0.938275
