t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-4.030819,0.566427,3.001622,0.000000,0.000000
0.02000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-4.027619,0.406470,3.001622,0.003200,-0.159957
0.04000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-4.018026,0.246769,3.001622,0.012793,-0.319659
0.06000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-4.002053,0.087579,3.001622,0.028765,-0.478849
0.08000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.979728,-0.070845,3.001622,0.051091,-0.637273
0.10000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.951085,-0.228250,3.001622,0.079734,-0.794677
0.12000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.916171,-0.384383,3.001622,0.114648,-0.950811
0.14000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.875041,-0.538995,3.001622,0.155778,-1.105423
0.16000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.827761,-0.691839,3.001622,0.203058,-1.258266
0.18000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.098489,-0.000411,-3.774406,-0.842669,3.001622,0.256413,-1.409097
0.20000,-4.030819,0.566427,3.001622,-0.011849,0.020907,-0.000678,3.115109,0.253566,-3.715063,-0.991246,3.001622,0.315756,-1.557673
0.22000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.649826,-1.137330,3.001622,0.378324,-1.701964
0.24000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.578799,-1.280689,3.001622,0.449351,-1.845323
0.26000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.502096,-1.421093,3.001622,0.526054,-1.985727
0.28000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.419839,-1.558317,3.001622,0.608310,-2.122951
0.30000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.332161,-1.692142,3.001622,0.695988,-2.256776
0.32000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.239202,-1.822354,3.001622,0.788948,-2.386988
0.34000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.141110,-1.948745,3.001622,0.887040,-2.513378
0.36000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-3.038042,-2.071111,3.001622,0.990108,-2.635745
0.38000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-2.930163,-2.189258,3.001622,1.097987,-2.753892
0.40000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-2.817646,-2.302997,3.001622,1.210504,-2.867630
0.42000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-2.700670,-2.412145,3.001622,1.327479,-2.976779
0.44000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-2.579424,-2.516528,3.001622,1.448726,-3.081162
0.46000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,3.115109,0.253566,-2.454100,-2.615979,3.001622,1.574050,-3.180613
0.48000,-4.028150,0.564634,3.001751,-0.009280,-0.018579,-0.000558,-2.950975,1.329721,-2.324899,-2.710339,3.001622,1.703251,-3.274972
0.50000,-4.020217,0.523302,3.001652,0.049018,-0.326579,-0.003612,-2.950975,1.329721,-2.192028,-2.799456,3.001622,1.828189,-3.322758
0.52000,-4.020217,0.523302,3.001652,0.049018,-0.326579,-0.003612,-2.950975,1.329721,-2.055700,-2.883189,3.001622,1.964517,-3.406491
0.54000,-4.020217,0.523302,3.001652,0.049018,-0.326579,-0.003612,-2.950975,1.329721,-1.916132,-2.961404,3.001622,2.104085,-3.484706
0.56000,-4.020217,0.523302,3.001652,0.049018,-0.326579,-0.003612,-2.950975,1.329721,-1.773549,-3.033974,3.001622,2.246668,-3.557276
