t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,ex_L,ey_L
0.00000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-4.010798,0.720085,3.002492,0.000000,0.000000
0.02000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-4.007599,0.560128,3.002492,0.003200,-0.159957
0.04000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.998005,0.400427,3.002492,0.012793,-0.319659
0.06000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.982033,0.241237,3.002492,0.028765,-0.478849
0.08000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.959708,0.082813,3.002492,0.051091,-0.637273
0.10000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.931065,-0.074592,3.002492,0.079734,-0.794677
0.12000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.896150,-0.230725,3.002492,0.114648,-0.950811
0.14000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.855020,-0.385337,3.002492,0.155778,-1.105423
0.16000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.807740,-0.538181,3.002492,0.203058,-1.258266
0.18000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.098447,-0.000861,-3.754386,-0.689011,3.002492,0.256413,-1.409097
0.20000,-4.010798,0.720085,3.002492,-0.016852,0.020145,-0.000943,3.117310,0.280651,-3.695042,-0.837588,3.002492,0.315756,-1.557673
0.22000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.629805,-0.983672,3.002492,0.380671,-1.701472
0.24000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.558778,-1.127031,3.002492,0.451698,-1.844831
0.26000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.482075,-1.267435,3.002492,0.528401,-1.985235
0.28000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.399819,-1.404659,3.002492,0.610657,-2.122459
0.30000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.312141,-1.538484,3.002492,0.698335,-2.256285
0.32000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.219181,-1.668696,3.002492,0.791295,-2.386496
0.34000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.121089,-1.795087,3.002492,0.889387,-2.512887
0.36000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-3.018021,-1.917453,3.002492,0.992455,-2.635253
0.38000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-2.910142,-2.035600,3.002492,1.100334,-2.753400
0.40000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-2.797625,-2.149339,3.002492,1.212851,-2.867139
0.42000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-2.680650,-2.258487,3.002492,1.329826,-2.976287
0.44000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,3.117310,0.280651,-2.559403,-2.362870,3.002492,1.451073,-3.080670
0.46000,-4.010476,0.717800,3.002566,-0.011551,-0.015958,-0.000586,-2.941465,1.351809,-2.434079,-2.462321,3.002492,1.576397,-3.180121
0.48000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-2.304878,-2.556681,3.002492,1.699183,-3.234585
0.50000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-2.172008,-2.645798,3.002492,1.832054,-3.323703
0.52000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-2.035679,-2.729531,3.002492,1.968382,-3.407436
0.54000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.896112,-2.807746,3.002492,2.107950,-3.485650
0.56000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.753528,-2.880316,3.002492,2.250533,-3.558221
0.58000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.608157,-2.947127,3.002492,2.395905,-3.625032
0.60000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.460229,-3.008071,3.002492,2.543832,-3.685975
0.62000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.309984,-3.063051,3.002492,2.694078,-3.740955
0.64000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.157659,-3.111978,3.002492,2.846402,-3.789883
0.66000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-1.003500,-3.154775,3.002492,3.000561,-3.832680
0.68000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.941465,1.351809,-0.847753,-3.191373,3.002492,3.156309,-3.869278
0.70000,-4.004062,0.677905,3.002461,0.047831,-0.313865,-0.003523,-2.546258,1.508314,-0.690667,-3.221713,3.002492,3.313395,-3.899618
0.72000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,-0.532493,-3.245748,3.002492,3.427963,-3.776233
0.74000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,-0.373485,-3.263438,3.002492,3.586971,-3.793923
0.76000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,-0.213896,-3.274755,3.002492,3.746560,-3.805240
0.78000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,-0.053983,-3.279681,3.002492,3.906473,-3.810167
0.80000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,0.106000,-3.278209,3.002492,4.066456,-3.808694
0.82000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,0.265795,-3.270340,3.002492,4.226251,-3.800825
0.84000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,0.425149,-3.256087,3.002492,4.385604,-3.786572
0.86000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,0.583804,-3.235474,3.002492,4.544260,-3.765959
0.88000,-3.960456,0.530485,3.001779,0.318059,-0.842854,-0.003569,-2.546258,1.508314,0.741509,-3.208532,3.002492,4.701965,-3.739017
