t,x,y,z,vx,vy,vz,yaw,yaw_rate
0.00000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.02000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.04000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.06000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.08000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.10000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.12000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.14000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.16000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.18000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.20000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.22000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.24000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.26000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.28000,1.373050,0.151225,5.662943,-0.060711,-0.024434,0.004766,-1.654283,-0.130657
0.30000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.32000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.34000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.36000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.38000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.40000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.42000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.44000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.46000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.48000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.50000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.52000,1.370630,0.135223,5.663363,0.047293,-0.059643,0.016270,-1.647013,0.083714
0.54000,1.377020,0.117500,5.670913,0.016939,-0.064468,0.038929,-1.604848,0.333525
0.56000,1.377020,0.117500,5.670913,0.016939,-0.064468,0.038929,-1.604848,0.333525
0.58000,1.377020,0.117500,5.670913,0.016939,-0.064468,0.038929,-1.604848,0.333525
0.60000,1.377020,0.117500,5.670913,0.016939,-0.064468,0.038929,-1.604848,0.333525
0.62000,1.377020,0.117500,5.670913,0.016939,-0.064468,0.038929,-1.604848,0.333525
