timestamp,lat,lon,alt_gps,alt_ned,north,east,down,rtk_x,rtk_y,rtk_z
1749760556.380591298,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760556.581185629,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760556.760765164,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760557.1044905,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760557.181144227,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760557.381570617,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760557.561840599,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760557.800871414,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760557.980816076,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760558.181340612,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760558.400757334,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760558.580694732,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760558.781233220,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760559.529812,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760559.200517214,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760559.400282307,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760559.580701219,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760559.780667053,19.5942342,-99.2280869,2330.09,1.10,0.01,0.02,-1.09,0.02,0.01,1.10
1749760560.660492,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760560.180880743,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760560.380971155,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760560.581264067,19.5942342,-99.2280869,2330.10,1.10,0.01,0.02,-1.10,0.02,0.01,1.10
1749760560.800722325,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760560.980511877,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760561.180719635,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760561.360772682,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760561.821210722,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760562.61047631,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760562.301151554,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760562.560865887,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760562.820589981,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760563.81014539,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760563.300999078,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760563.540632141,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760563.801300095,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760564.60929530,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760564.301053195,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760564.560917642,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760564.800987738,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760565.60878553,19.5942342,-99.2280870,2330.09,1.10,0.01,0.01,-1.09,0.01,0.01,1.10
1749760565.320641140,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
1749760565.580237132,19.5942342,-99.2280870,2330.10,1.10,0.01,0.01,-1.10,0.01,0.01,1.10
