timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779554323.460014,0.0150,circle,0.0172,-0.0157,1.4599,-0.0195,0.0190,0.0002,0.0149,0.0009,0.0172,-0.0157,0.0157,-0.0128,1.4599,-0.0185,0.0142,-0.0002,0.0042,0.0004,0.0470,-2.0155,2.4599,0.0313,-2.0026,1.0000,2.0029,1.0000,0.0107,0.0032,0.0000,0.0017,0.0000,0.0157,-1.0013,0.5000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0174,-1.0013,0.5000,0.0086
1779554323.510611,0.0620,circle,0.0172,-0.0157,1.4599,-0.0195,0.0190,0.0002,0.0149,0.0009,0.0174,-0.0397,0.0157,-0.0130,1.4598,-0.0183,0.0145,0.0001,0.0042,0.0004,0.0470,-2.0155,2.4599,0.0313,-2.0024,1.0002,2.0027,1.0002,0.0107,0.0030,0.0002,0.0017,0.0000,0.0157,-1.0012,0.5001,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0174,-1.0012,0.5001,0.0086
1779554323.643706,0.1870,circle,0.0172,-0.0157,1.4599,-0.0195,0.0190,0.0002,0.0149,0.0009,0.0176,-0.0557,0.0157,-0.0130,1.4598,-0.0183,0.0145,0.0001,0.0042,0.0004,0.0470,-2.0155,2.4599,0.0313,-2.0024,1.0002,2.0027,1.0002,0.0107,0.0030,0.0002,0.0017,0.0000,0.0157,-1.0012,0.5001,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0174,-1.0012,0.5001,0.0086
1779554323.643706,0.1870,circle,0.0172,-0.0157,1.4599,-0.0195,0.0190,0.0002,0.0115,-0.0748,0.0176,-0.0557,0.0157,-0.0130,1.4598,-0.0183,0.0145,0.0001,0.0042,0.0004,0.0402,-2.0155,2.4599,0.0244,-2.0025,1.0002,2.0027,1.0002,0.0072,0.0030,0.0002,-0.1495,-0.0017,0.0122,-1.0013,0.5001,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.1373,-1.0030,0.5001,-0.0017
1779554323.680400,0.2340,circle,0.0170,-0.0155,1.4602,-0.0183,0.0162,-0.0002,0.0115,-0.0748,0.0191,-0.1036,0.0157,-0.0130,1.4598,-0.0183,0.0145,0.0001,0.0042,0.0004,0.0400,-2.0153,2.4602,0.0242,-2.0023,1.0005,2.0025,1.0005,0.0072,0.0028,0.0005,-0.1495,-0.0017,0.0121,-1.0012,0.5002,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.1374,-1.0029,0.5002,-0.0017
1779554323.711982,0.2650,circle,0.0170,-0.0155,1.4602,-0.0183,0.0162,-0.0002,0.0115,-0.0748,0.0195,-0.1116,0.0157,-0.0130,1.4598,-0.0183,0.0145,0.0001,0.0048,0.0066,0.0400,-2.0153,2.4602,0.0242,-2.0023,1.0005,2.0025,1.0005,0.0066,0.0028,0.0005,-0.1495,-0.0017,0.0121,-1.0012,0.5002,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.1374,-1.0029,0.5002,-0.0028
1779554323.762741,0.3120,circle,0.0170,-0.0155,1.4602,-0.0183,0.0162,-0.0002,0.0115,-0.0748,0.0208,-0.1356,0.0156,-0.0151,1.4629,-0.0176,-0.0258,0.0566,0.0048,0.0066,0.0400,-2.0153,2.4602,0.0243,-2.0003,0.9973,2.0004,0.9973,0.0066,0.0014,0.0027,-0.1495,-0.0017,0.0122,-1.0001,0.4986,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.1374,-1.0018,0.4986,-0.0028
1779554323.816334,0.3750,circle,0.0170,-0.0155,1.4602,-0.0183,0.0162,-0.0002,0.0115,-0.0748,0.0224,-0.1596,0.0156,-0.0151,1.4629,-0.0176,-0.0258,0.0566,0.0048,0.0066,0.0400,-2.0153,2.4602,0.0243,-2.0003,0.9973,2.0004,0.9973,0.0066,0.0014,0.0027,-0.1495,-0.0017,0.0122,-1.0001,0.4986,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.1374,-1.0018,0.4986,-0.0028
1779554323.856869,0.4060,circle,0.0170,-0.0155,1.4602,-0.0183,0.0162,-0.0002,-0.1262,-1.0600,0.0236,-0.1755,0.0156,-0.0151,1.4629,-0.0176,-0.0258,0.0566,0.0048,0.0066,-0.2347,-1.9996,2.4602,-0.2503,-1.9845,0.9973,2.0002,0.9973,-0.1310,0.0014,0.0027,-2.1031,0.2667,-0.1251,-0.9923,0.4986,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-1.9017,-0.6192,0.4986,-0.2115
1779554323.922165,0.4690,circle,0.0181,-0.0185,1.4604,-0.0113,-0.0098,-0.0006,-0.1262,-1.0600,0.0257,-0.1994,0.0156,-0.0151,1.4629,-0.0176,-0.0258,0.0566,0.0048,0.0066,-0.2336,-2.0026,2.4604,-0.2492,-1.9876,0.9975,2.0031,0.9975,-0.1310,0.0043,0.0025,-2.1031,0.2667,-0.1246,-0.9938,0.4988,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-1.9013,-0.6205,0.4988,-0.2115
