timestamp_unix,t,leader_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,l_lat,l_lon,l_alt,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,s_lat,s_lon,s_alt,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779912391.014871,0.0000,circle,-3.9919,0.0314,1.9996,0.0000,-0.0200,0.0004,-1.5705,-0.0002,-3.9919,0.0314,19.59419830,-99.22808690,2.000,-6.0156,0.0210,2.0015,0.0200,-0.0100,-0.0013,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0309,2.9996,0.0237,0.0099,0.9980,0.0257,0.9980,-1.5706,2.0238,0.0020,-0.0000,0.0004,0.0119,0.0050,0.4990,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0119,0.0053,0.4990,-1.0000
1779912391.073736,0.0620,circle,-3.9919,0.0314,1.9996,0.0000,-0.0200,0.0004,-1.5705,-0.0002,-3.9999,-0.0320,19.59419830,-99.22808690,2.000,-6.0156,0.0210,2.0016,0.0200,-0.0100,-0.0015,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0309,2.9996,0.0237,0.0099,0.9979,0.0257,0.9979,-1.5706,2.0238,0.0021,-0.0000,0.0004,0.0119,0.0050,0.4990,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0119,0.0053,0.4990,-1.0000
1779912391.209064,0.1870,circle,-3.9919,0.0314,1.9996,0.0000,-0.0100,0.0004,-1.5705,-0.0005,-3.9984,-0.1120,19.59419830,-99.22808690,2.000,-6.0156,0.0210,2.0016,0.0200,-0.0100,-0.0015,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0308,2.9996,0.0237,0.0099,0.9979,0.0257,0.9979,-1.5706,2.0238,0.0021,-0.0000,0.0009,0.0119,0.0049,0.4990,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0119,0.0059,0.4990,-1.0000
1779912391.209064,0.1870,circle,-3.9919,0.0314,1.9995,0.0000,-0.0100,0.0003,-1.5705,-0.0005,-3.9984,-0.1120,19.59419830,-99.22808690,1.999,-6.0156,0.0210,2.0016,0.0200,-0.0100,-0.0015,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0308,2.9995,0.0237,0.0099,0.9978,0.0257,0.9978,-1.5706,2.0238,0.0022,-0.0000,0.0009,0.0119,0.0049,0.4989,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0119,0.0059,0.4989,-1.0000
1779912391.223846,0.2030,circle,-3.9919,0.0314,1.9995,0.0000,-0.0100,0.0003,-1.5705,-0.0005,-3.9974,-0.1440,19.59419830,-99.22808690,1.999,-6.0156,0.0210,2.0016,0.0200,-0.0100,-0.0015,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0308,2.9995,0.0237,0.0099,0.9978,0.0257,0.9978,-1.5706,2.0238,0.0022,-0.0000,0.0009,0.0119,0.0049,0.4989,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0119,0.0059,0.4989,-1.0000
1779912391.271378,0.2500,circle,-3.9919,0.0314,1.9995,0.0000,-0.0100,0.0003,-1.5705,-0.0005,-3.9954,-0.1919,19.59419830,-99.22808690,1.999,-6.0156,0.0210,2.0016,0.0200,-0.0100,-0.0015,0.0001,-0.0005,19.59418010,-99.22808700,2.002,-5.9919,0.0308,2.9995,0.0237,0.0099,0.9978,0.0257,0.9978,-1.5706,2.0238,0.0022,-0.0000,0.0009,0.0119,0.0049,0.4989,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0119,0.0059,0.4989,-1.0000
1779912391.322397,0.3120,circle,-3.9919,0.0314,1.9995,0.0000,-0.0100,0.0003,-1.5705,-0.0005,-3.9928,-0.2399,19.59419830,-99.22808690,1.999,-6.0156,0.0210,2.0044,0.0200,0.0000,0.0516,-0.0150,-0.2431,19.59418010,-99.22808700,2.004,-5.9919,0.0308,2.9995,0.0237,0.0099,0.9951,0.0257,0.9951,-1.5555,2.0238,0.0049,-0.0000,0.0009,0.0119,0.0049,0.4975,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0119,0.0059,0.4975,-1.0000
1779912391.360975,0.3440,circle,-3.9919,0.0314,1.9995,0.0000,-0.0100,0.0003,-1.5626,0.0816,-3.9918,-0.2558,19.59419830,-99.22808690,1.999,-6.0156,0.0210,2.0044,0.0200,0.0000,0.0516,-0.0150,-0.2431,19.59418010,-99.22808700,2.004,-5.9918,0.0151,2.9995,0.0238,-0.0059,0.9951,0.0245,0.9951,-1.5476,2.0238,0.0049,0.0013,-0.1631,0.0119,-0.0029,0.4975,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0132,-0.1661,0.4975,-1.0000
1779912391.418401,0.4060,circle,-3.9808,0.0314,1.9994,0.0000,-0.0400,0.0001,-1.5626,0.0816,-3.9872,-0.3197,19.59419840,-99.22808690,1.999,-6.0156,0.0210,2.0044,0.0200,0.0000,0.0516,-0.0150,-0.2431,19.59418010,-99.22808700,2.004,-5.9807,0.0151,2.9994,0.0349,-0.0059,0.9949,0.0354,0.9949,-1.5476,2.0349,0.0051,0.0013,-0.1631,0.0175,-0.0029,0.4975,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0188,-0.1661,0.4975,-1.0000
1779912391.463073,0.4530,circle,-3.9808,0.0314,1.9994,0.0000,-0.0400,0.0001,-1.5626,0.0816,-3.9845,-0.3515,19.59419840,-99.22808690,1.999,-6.0156,0.0210,2.0044,0.0200,0.0000,0.0516,-0.0150,-0.2431,19.59418010,-99.22808700,2.004,-5.9807,0.0151,2.9994,0.0349,-0.0059,0.9949,0.0354,0.9949,-1.5476,2.0349,0.0051,0.0013,-0.1631,0.0175,-0.0029,0.4975,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0188,-0.1661,0.4975,-1.0000
