timestamp_unix,t,drone,label,tx,ty,tz,x,y,z,ex,ey,ez,dist_xy,dist_z,speed,in_zone
1780341261.370854,0.0000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9445,40.2341,-0.9218,1.0555,40.2447,1.0555,0.0100,0
1780341261.422676,0.0470,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9445,40.2341,-0.9218,1.0555,40.2447,1.0555,0.0100,0
1780341261.476272,0.1090,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9445,40.2341,-0.9218,1.0555,40.2447,1.0555,0.0100,0
1780341261.518287,0.1410,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9407,40.2341,-0.9218,1.0593,40.2447,1.0593,0.0100,0
1780341261.577684,0.2030,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9407,40.2341,-0.9218,1.0593,40.2447,1.0593,0.0100,0
1780341261.625419,0.2500,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9407,40.2341,-0.9218,1.0593,40.2447,1.0593,0.0100,0
1780341261.675862,0.2970,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9407,40.2341,-0.9218,1.0593,40.2447,1.0593,0.0100,0
1780341261.729290,0.3590,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2341,0.9218,2.9407,40.2341,-0.9218,1.0593,40.2447,1.0593,0.0100,0
1780341261.774570,0.4060,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2230,0.9218,2.9407,40.2230,-0.9218,1.0593,40.2335,1.0593,0.1900,0
1780341261.821768,0.4530,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2230,0.9218,2.9611,40.2230,-0.9218,1.0389,40.2335,1.0389,0.1900,0
1780341261.869403,0.5000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2230,0.9218,2.9611,40.2230,-0.9218,1.0389,40.2335,1.0389,0.1900,0
1780341261.920300,0.5470,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2230,0.9218,2.9611,40.2230,-0.9218,1.0389,40.2335,1.0389,0.1900,0
1780341261.974149,0.5940,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.2230,0.9218,2.9611,40.2230,-0.9218,1.0389,40.2335,1.0389,0.1900,0
1780341262.030936,0.6560,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.1007,0.9218,3.0104,40.1007,-0.9218,0.9896,40.1113,0.9896,0.7300,0
1780341262.075550,0.7030,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.1007,0.9218,3.0104,40.1007,-0.9218,0.9896,40.1113,0.9896,0.7300,0
1780341262.123832,0.7500,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.1007,0.9218,3.0104,40.1007,-0.9218,0.9896,40.1113,0.9896,0.7300,0
1780341262.174487,0.7970,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.1007,0.9218,3.0104,40.1007,-0.9218,0.9896,40.1113,0.9896,0.7300,0
1780341262.228425,0.8590,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-45.1007,0.9218,3.0104,40.1007,-0.9218,0.9896,40.1113,0.9896,0.7300,0
1780341262.270214,0.8910,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.8338,0.9114,3.0104,39.8338,-0.9114,0.9896,39.8442,0.9896,1.4101,0
1780341262.330729,0.9530,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.8338,0.9114,3.0735,39.8338,-0.9114,0.9265,39.8442,0.9265,1.4101,0
1780341262.379609,1.0000,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.8338,0.9114,3.0735,39.8338,-0.9114,0.9265,39.8442,0.9265,1.4101,0
1780341262.429988,1.0630,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.8338,0.9114,3.0735,39.8338,-0.9114,0.9265,39.8442,0.9265,1.4101,0
1780341262.474966,1.1090,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.8338,0.9114,3.0735,39.8338,-0.9114,0.9265,39.8442,0.9265,1.4101,0
1780341262.522635,1.1560,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.3890,0.9009,3.1411,39.3890,-0.9009,0.8589,39.3993,0.8589,2.0404,0
1780341262.569033,1.2030,follower,SEGUIDOR prepos,-5.0000,0.0000,4.0000,-44.3890,0.9009,3.1411,39.3890,-0.9009,0.8589,39.3993,0.8589,2.0404,0
