timestamp_unix,t,phase,lx,ly,lz,l_yaw,sx,sy,sz,s_yaw
1780124586.700731,0.0160,init,0.0000,0.0000,-0.0027,0.0455,0.0000,0.0000,0.0000,0.0326
1780124586.830505,0.1410,init,-4.0475,0.0419,-0.0027,0.0455,0.0000,0.0000,0.0542,0.0326
1780124586.946160,0.2660,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.064495,0.3750,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.180884,0.5000,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.301017,0.6250,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.403123,0.7190,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.519368,0.8440,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.653968,0.9690,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.794046,1.1090,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124587.904144,1.2190,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.113485,1.4370,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.237875,1.5620,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.346856,1.6720,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.454984,1.7660,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.562747,1.8750,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.672154,1.9840,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.780450,2.0940,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124588.895210,2.2190,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0542,0.0326
1780124589.107348,2.4220,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0543,0.0326
1780124589.215831,2.5310,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0543,0.0326
1780124589.324859,2.6410,init,-4.0475,0.0419,-0.0027,0.0455,-5.0260,0.0419,0.0543,0.0326
1780124589.479798,2.7970,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124589.592664,2.9060,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124589.700352,3.0160,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124589.817267,3.1410,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124589.930837,3.2500,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.041867,3.3590,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.153052,3.4690,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.263489,3.5780,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.403239,3.7190,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.509514,3.8280,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.610186,3.9220,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.734529,4.0470,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.839322,4.1560,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124590.944781,4.2660,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.069930,4.3910,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.199618,4.5160,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.400274,4.7190,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.516200,4.8280,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.631105,4.9530,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.736982,5.0470,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.851001,5.1720,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124591.965038,5.2810,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.079767,5.3910,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.185050,5.5000,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.356503,5.6720,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.469850,5.7810,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.579036,5.8910,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.682883,6.0000,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.786999,6.1090,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124592.900630,6.2190,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.007214,6.3280,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.121844,6.4370,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.233163,6.5470,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.333404,6.6560,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.452591,6.7660,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.569870,6.8910,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0543,0.0326
1780124593.678773,7.0000,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0544,0.0326
1780124593.788353,7.1090,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0544,0.0326
1780124593.896964,7.2190,init,-4.0475,0.0419,-0.0027,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124593.997641,7.3120,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124594.113359,7.4370,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124594.225971,7.5470,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124594.340744,7.6560,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124594.456407,7.7810,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0544,0.0325
1780124594.558187,7.8750,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0545,0.0325
1780124594.663499,7.9840,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0545,0.0325
1780124594.771374,8.0940,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0545,0.0325
1780124594.895447,8.2190,init,-4.0475,0.0419,-0.0026,0.0456,-5.0260,0.0419,0.0545,0.0325
1780124595.027264,8.3440,init,-4.0475,0.0419,-0.0025,0.0457,-5.0260,0.0419,0.0545,0.0325
1780124595.146542,8.4690,init,-4.0475,0.0419,-0.0025,0.0457,-5.0260,0.0419,0.0546,0.0325
