timestamp_unix,t,phase,event,lx,ly,lz,l_yaw,sx,sy,sz,s_yaw
1780342723.817617,0.0150,init,,0.0000,0.0000,3.0010,-0.0072,0.0000,0.0000,0.0000,0.0000
1780342723.920341,0.1090,init,,-3.9474,-0.0419,3.0010,-0.0072,0.0000,0.0000,0.0000,0.0000
1780342724.035602,0.2340,init,,-3.9474,-0.0419,3.0010,-0.0072,-4.9704,-0.0419,3.0703,-0.0093
1780342724.137560,0.3280,init,,-3.9474,-0.0419,3.0007,-0.0072,-4.9704,-0.0419,3.0703,-0.0093
1780342724.253207,0.4530,init,,-3.9474,-0.0419,3.0007,-0.0072,-4.9704,-0.0419,3.0701,-0.0094
1780342724.371426,0.5620,init,,-3.9474,-0.0419,3.0007,-0.0072,-4.9704,-0.0419,3.0701,-0.0094
1780342724.482923,0.6720,takeoff_L,,-3.9474,-0.0419,3.0007,-0.0071,-4.9704,-0.0419,3.0700,-0.0093
1780342724.589885,0.7810,takeoff_L,,-3.9474,-0.0419,3.0007,-0.0071,-4.9704,-0.0419,3.0700,-0.0093
1780342724.703463,0.9060,takeoff_L,,-3.9474,-0.0419,3.0001,-0.0072,-4.9704,-0.0419,3.0699,-0.0094
1780342724.817114,1.0150,takeoff_L,,-3.9474,-0.0419,3.0001,-0.0072,-4.9704,-0.0419,3.0699,-0.0094
1780342724.928213,1.1250,takeoff_L,,-3.9474,-0.0419,2.9999,-0.0072,-4.9704,-0.0419,3.0698,-0.0094
1780342725.037911,1.2340,takeoff_L,,-3.9474,-0.0419,2.9999,-0.0072,-4.9704,-0.0419,3.0698,-0.0094
1780342725.140487,1.3280,takeoff_L,,-3.9474,-0.0419,2.9997,-0.0072,-4.9704,-0.0419,3.0698,-0.0094
1780342725.254739,1.4530,takeoff_L,,-3.9474,-0.0419,2.9997,-0.0072,-4.9704,-0.0419,3.0696,-0.0095
1780342725.370256,1.5620,takeoff_L,,-3.9474,-0.0419,2.9997,-0.0072,-4.9704,-0.0419,3.0696,-0.0095
1780342725.475886,1.6720,takeoff_L,,-3.9474,-0.0419,2.9995,-0.0072,-4.9704,-0.0419,3.0696,-0.0094
1780342725.588009,1.7810,takeoff_L,,-3.9474,-0.0419,2.9995,-0.0072,-4.9704,-0.0419,3.0696,-0.0094
1780342725.692640,1.8900,takeoff_L,,-3.9474,-0.0419,2.9993,-0.0072,-4.9704,-0.0419,3.0695,-0.0094
1780342725.812394,2.0000,takeoff_L,,-3.9474,-0.0419,2.9993,-0.0072,-4.9704,-0.0419,3.0695,-0.0094
1780342725.921539,2.1090,takeoff_L,,-3.9474,-0.0419,2.9991,-0.0071,-4.9704,-0.0419,3.0695,-0.0094
1780342726.024147,2.2190,takeoff_L,,-3.9474,-0.0419,2.9991,-0.0071,-4.9704,-0.0419,3.0694,-0.0094
1780342726.126660,2.3280,takeoff_L,,-3.9474,-0.0419,2.9991,-0.0072,-4.9704,-0.0419,3.0694,-0.0094
1780342726.228275,2.4220,takeoff_L,,-3.9474,-0.0419,2.9990,-0.0072,-4.9704,-0.0419,3.0694,-0.0094
1780342726.334152,2.5310,takeoff_L,,-3.9474,-0.0419,2.9990,-0.0072,-4.9704,-0.0419,3.0694,-0.0094
1780342726.434659,2.6250,takeoff_L,,-3.9474,-0.0419,2.9989,-0.0071,-4.9704,-0.0419,3.0694,-0.0094
